Date,Time,Camera,Detection,Confidence
2026-06-30,11:04:37,Floor-1 Laptop-cam0,smoke,0.46
2026-06-30,11:04:45,Floor-1 Laptop-cam0,smoke,0.58
2026-06-30,11:04:50,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:04:51,Floor-1 Laptop-cam0,smoke,0.46
2026-06-30,11:04:52,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,11:04:53,Floor-1 Laptop-cam0,smoke,0.46
2026-06-30,11:04:54,Floor-1 Laptop-cam0,smoke,0.25
2026-06-30,11:04:55,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:04:57,Floor-1 Laptop-cam0,smoke,0.33
2026-06-30,11:04:58,Floor-1 Laptop-cam0,smoke,0.37
2026-06-30,11:04:59,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:05:00,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,11:05:02,Floor-1 Laptop-cam0,smoke,0.28
2026-06-30,11:05:12,Floor-1 Laptop-cam0,smoke,0.33
2026-06-30,11:05:13,Floor-1 Laptop-cam0,smoke,0.32
2026-06-30,11:05:14,Floor-1 Laptop-cam0,smoke,0.34
2026-06-30,11:05:15,Floor-1 Laptop-cam0,smoke,0.36
2026-06-30,11:05:16,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:05:17,Floor-1 Laptop-cam0,smoke,0.26
2026-06-30,11:05:19,Floor-1 Laptop-cam0,smoke,0.33
2026-06-30,11:05:23,Floor-1 Laptop-cam0,smoke,0.35
2026-06-30,11:05:25,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:05:30,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:05:33,Floor-1 Laptop-cam0,smoke,0.39
2026-06-30,11:05:34,Floor-1 Laptop-cam0,smoke,0.28
2026-06-30,11:06:01,Floor-1 Laptop-cam0,smoke,0.30
2026-06-30,11:06:05,Floor-1 Laptop-cam0,smoke,0.29
2026-06-30,11:07:15,Floor-1 Laptop-cam0,smoke,0.27
2026-06-30,11:07:18,Floor-1 Laptop-cam0,smoke,0.36
2026-06-30,11:07:21,Floor-1 Laptop-cam0,smoke,0.30
